time, trialNum, cceExpType, mapping, indexContact, thumbContact, manipForceTooHigh, trialSuccess, boxPosX, boxPosY, boxPosZ, indexPosX, indexPosY, indexPosZ, thumbPosX, thumbPosY, thumbPosZ, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, 
583.615034, 72, 2, 1, 0, 0, 0, 1, -0.001450444, 0.343603996, -0.0349755604, 0.265981445, -0.10072666, -0.19482356, 0.332472021, -0.0711191406, -0.167226025, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849367444, -0.527801994, -2.12041077e-006, 0.527801994, 0.849367444, 1.17333599e-006, 1.1817188e-006, -2.11575042e-006, 1, 0.849367566, -0.527801799, 1.47999285e-006, 0.527801799, 0.849367566, 3.48707719e-006, -3.09754354e-006, -2.18066737e-006, 1, -0.259101993, 0.804181281, -0.53478985, -0.761962891, 0.170043945, 0.624755859, 0.593493671, 0.569441523, 0.568811998, -0.0911143757, 0.612673545, -0.784937125, 0.173095703, -0.766479492, -0.618408203, -0.980594085, -0.192137679, -0.0362262146, 
583.622746, 72, 2, 1, 0, 0, 0, 1, -0.00145046096, 0.343603977, -0.0349659876, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.84936953, -0.527798638, 1.57780067e-006, 0.527798638, 0.84936953, 1.40922621e-005, -8.77801256e-006, -1.1136777e-005, 1, 0.849369452, -0.527798763, 3.52379732e-006, 0.527798763, 0.849369451, 2.69795544e-005, -1.72327812e-005, -2.10557534e-005, 1, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.623457, 72, 2, 1, 0, 0, 0, 1, -0.00145045945, 0.343603979, -0.0349590982, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849369901, -0.52779804, 4.12729968e-006, 0.52779804, 0.849369901, 5.62747003e-006, -6.47577177e-006, -2.60142298e-006, 1, 0.849369834, -0.527798149, -5.31897282e-007, 0.527798149, 0.849369834, -1.26987496e-005, 7.15415403e-006, 1.05052004e-005, 1, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.624154, 72, 2, 1, 0, 0, 0, 1, -0.00145045697, 0.343603977, -0.0349559146, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849370242, -0.52779749, -2.22595853e-005, 0.52779749, 0.849370243, -1.29509106e-005, 2.57420875e-005, -7.48435158e-007, 1, 0.849370163, -0.527797619, -1.15166637e-005, 0.527797618, 0.849370163, -1.3684089e-005, 1.70043401e-005, 5.54438923e-006, 1, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.624844, 72, 2, 1, 0, 0, 0, 1, -0.00145045699, 0.343603975, -0.0349569204, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849370615, -0.52779689, 3.46569187e-005, 0.52779689, 0.849370615, 1.11232882e-005, -3.53074053e-005, 8.8440198e-006, 0.999999999, 0.849370544, -0.527797004, 2.19596381e-005, 0.527797004, 0.849370545, 5.55428126e-006, -2.15834028e-005, 6.87258829e-006, 1, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.625536, 72, 2, 1, 0, 0, 0, 1, -0.00145046096, 0.343603967, -0.0349617005, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849370862, -0.527796494, -1.19302363e-005, 0.527796494, 0.849370862, -6.33164073e-006, 1.34750129e-005, -9.18825736e-007, 1, 0.84937083, -0.527796546, 3.00753872e-006, 0.527796546, 0.84937083, 1.4066883e-005, -9.97896792e-006, -1.03606315e-005, 1, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.626229, 72, 2, 1, 0, 0, 0, 1, -0.00145045413, 0.343603977, -0.0349685305, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849370927, -0.527796389, -1.14679707e-005, 0.527796389, 0.849370927, -2.28319891e-005, 2.17912022e-005, 1.33400742e-005, 1, 0.849370917, -0.527796406, -1.66619448e-005, 0.527796405, 0.849370917, -3.63567724e-005, 3.33411452e-005, 2.20862706e-005, 0.999999999, -0.281834932, 0.792292273, -0.540929049, -0.76574707, 0.153808594, 0.624389648, 0.577937464, 0.590357715, 0.563604755, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.626936, 72, 2, 1, 0, 0, 0, 1, -0.00145045976, 0.343603967, -0.0349751974, 0.26901394, -0.105288965, -0.19314397, 0.33484292, -0.0755552734, -0.166652881, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849371061, -0.527796172, 3.58486323e-005, 0.527796171, 0.849371062, 2.7128712e-005, -4.47672212e-005, -4.12157202e-006, 0.999999999, 0.849371021, -0.527796238, 2.93111351e-005, 0.527796237, 0.849371021, 3.00300055e-005, -4.07457526e-005, -1.00363096e-005, 0.999999999, -0.285873188, 0.7890201, -0.543550454, -0.767578125, 0.150878906, 0.622802734, 0.573509792, 0.595448878, 0.562660433, -0.100167723, 0.604639517, -0.790067709, 0.185668945, -0.768676758, -0.611816406, -0.977372378, -0.2079567, -0.0352925482, 
583.627637, 72, 2, 1, 0, 0, 0, 1, -0.0014504673, 0.343603963, -0.0349796099, 0.270133545, -0.106780151, -0.1921646, 0.335954492, -0.0769517578, -0.165723193, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849371316, -0.527795763, -2.0781252e-006, 0.527795763, 0.849371316, -4.87991843e-006, 4.34070021e-006, 3.04803707e-006, 1, 0.849371257, -0.527795858, 1.58413237e-005, 0.527795858, 0.849371257, -9.54251291e-007, -1.29515151e-005, 9.17149863e-006, 1, -0.285873188, 0.7890201, -0.543550454, -0.767578125, 0.150878906, 0.622802734, 0.573509792, 0.595448878, 0.562660433, -0.100499845, 0.601597547, -0.792342623, 0.190063477, -0.770019531, -0.608886719, -0.976548086, -0.21171322, -0.0370045638, 
583.62833, 72, 2, 1, 0, 0, 0, 1, -0.0014504566, 0.343603962, -0.0349808491, 0.270133545, -0.106780151, -0.1921646, 0.335954492, -0.0769517578, -0.165723193, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.849371636, -0.527795247, -2.77848584e-005, 0.527795247, 0.849371637, -7.33257005e-006, 2.74697663e-005, -8.43663918e-006, 1, 0.849371575, -0.527795345, -3.32572871e-005, 0.527795345, 0.849371576, -5.52318956e-006, 3.11629081e-005, -1.28618011e-005, 0.999999999, -0.285873188, 0.7890201, -0.543550454, -0.767578125, 0.150878906, 0.622802734, 0.573509792, 0.595448878, 0.562660433, -0.100499845, 0.601597547, -0.792342623, 0.190063477, -0.770019531, -0.608886719, -0.976548086, -0.21171322, -0.0370045638, 
