time, trialNum, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, manipForceTooHigh, cceExpType, mapping, trialSuccess, 
1169.20312, 63, 0.1, 0.1, 0.0247008697, 0.369045972, -0.0349741907, 0.921365556, 7.13977766e-006, -0.388697198, 0.388697197, 5.28546909e-005, 0.921365555, 2.71228155e-005, -0.999999999, 4.59232802e-005, 0.921365644, 1.24866978e-005, -0.388696991, 0.38869699, 4.34441305e-005, 0.921365643, 2.83914172e-005, -0.999999999, 3.51743874e-005, 0, 0, 0, 0, 0, 0, 0, 0.111798633, 0.241757349, -0.182161182, -0.509402873, 0.7756723, -0.37255594, -0.704467773, -0.127197266, 0.698242188, 0.494220101, 0.618079223, 0.61146301, 0, -0, 0, 0, 0, 0, 0, 0.199950098, 0.29458623, -0.131567236, -0.202241977, 0.958662306, -0.199538667, -0.352416992, -0.261230469, -0.8984375, -0.913595989, -0.111339934, 0.390829433, 0, 2, 5, 1, 
1169.2046, 63, 0.1, 0.1, 0.0247008483, 0.369045982, -0.0349574478, 0.921364192, 1.91422903e-005, -0.388700431, 0.388700432, -1.36043161e-005, 0.921364192, 1.23490173e-005, -1, -1.99751462e-005, 0.921364247, 1.26850185e-005, -0.388700301, 0.388700302, -3.21527441e-005, 0.921364246, -8.10258813e-007, -0.999999999, -3.45550594e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.20531, 63, 0.1, 0.1, 0.0247008459, 0.369045985, -0.0349585173, 0.921363818, -2.30899646e-005, -0.388701317, 0.388701317, -1.35828942e-006, 0.921363818, -2.18022269e-005, -1, 7.72362095e-006, 0.921363901, -1.90302246e-005, -0.388701121, 0.388701121, 1.15625912e-005, 0.921363901, -1.30393698e-005, -1, 1.80504238e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.206, 63, 0.1, 0.1, 0.0247008471, 0.369045979, -0.0349626528, 0.921363351, 2.64529517e-005, -0.388702424, 0.388702424, 8.67050697e-006, 0.921363352, 2.77430273e-005, -1, -2.29363909e-006, 0.921363453, 2.05594896e-005, -0.388702184, 0.388702184, -6.60343966e-006, 0.921363453, 1.63759909e-005, -1, -1.40756865e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.2067, 63, 0.1, 0.1, 0.024700848, 0.369045987, -0.0349686097, 0.921362784, -1.98882501e-005, -0.388703769, 0.38870377, 1.4577018e-005, 0.921362784, -1.26581516e-005, -1, 2.11613597e-005, 0.921362899, -5.62824646e-006, -0.388703497, 0.388703497, 2.95041017e-005, 0.921362899, 6.28269001e-006, -1, 2.93717037e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.2074, 63, 0.1, 0.1, 0.0247008406, 0.369045975, -0.0349745565, 0.921362128, -7.14015913e-006, -0.388705324, 0.388705323, -3.81030043e-005, 0.921362128, -2.13895128e-005, -0.999999999, -3.23312473e-005, 0.92136226, -1.55233988e-005, -0.388705011, 0.388705011, -3.97078635e-005, 0.921362259, -2.97373193e-005, -0.999999999, -3.05513039e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.20811, 63, 0.1, 0.1, 0.024700845, 0.369045973, -0.0349786372, 0.921361429, 1.71580201e-005, -0.38870698, 0.38870698, 2.65003247e-005, 0.921361429, 2.61095991e-005, -1, 1.77469349e-005, 0.921361586, 1.98349904e-005, -0.38870661, 0.388706609, 1.46293716e-005, 0.921361586, 2.39617316e-005, -1, 5.76894911e-006, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.504096785, 0.773808744, -0.383264719, -0.70715332, -0.115234375, 0.697509766, 0.495727946, 0.622700099, 0.605496414, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.20881, 63, 0.1, 0.1, 0.0247008438, 0.369045979, -0.0349796298, 0.921360709, -1.41505675e-005, -0.388708687, 0.388708687, 3.43289081e-006, 0.921360709, -1.17033824e-005, -1, 8.66337922e-006, 0.921360865, -1.01523163e-005, -0.388708319, 0.388708319, 1.64998137e-005, 0.921360864, -2.9403321e-006, -1, 1.91485725e-005, 0, 0, 0, 0, 0, 0, 0, 0.116539233, 0.234978906, -0.183173096, -0.502636871, 0.773276299, -0.386280026, -0.707763672, -0.111572266, 0.697509766, 0.496361862, 0.624020349, 0.603625745, 0, -0, 0, 0, 0, 0, 0, 0.204874756, 0.287712354, -0.132935107, -0.198140209, 0.956663744, -0.213014245, -0.350585937, -0.271972656, -0.895996094, -0.915251502, -0.102835259, 0.389413092, 0, 2, 5, 1, 
1169.20952, 63, 0.1, 0.1, 0.0247008427, 0.369045971, -0.0349773379, 0.921359969, 1.31828549e-005, -0.388710443, 0.388710443, -1.00531055e-005, 0.921359969, 8.23840768e-006, -1, -1.43868423e-005, 0.921360109, 4.40835741e-006, -0.388710109, 0.388710109, -1.848925e-005, 0.921360109, -3.12527374e-006, -1, -1.87488305e-005, 0, 0, 0, 0, 0, 0, 0, 0.118178467, 0.232723291, -0.183332886, -0.502636871, 0.773276299, -0.386280026, -0.707763672, -0.111572266, 0.697509766, 0.496361862, 0.624020349, 0.603625745, 0, -0, 0, 0, 0, 0, 0, 0.206321875, 0.285506055, -0.133200732, -0.196376788, 0.956101945, -0.216899096, -0.350219727, -0.274902344, -0.895263672, -0.915679873, -0.0998257388, 0.389004778, 0, 2, 5, 1, 
1169.21023, 63, 0.1, 0.1, 0.0247008438, 0.369045974, -0.0349729045, 0.921359221, -1.04506916e-005, -0.388712215, 0.388712215, 1.11250403e-005, 0.921359221, -5.30440203e-006, -1, 1.431247e-005, 0.921359368, -5.53247532e-007, -0.388711865, 0.388711865, 1.82129836e-005, 0.921359368, 6.56986302e-006, -1, 1.69957569e-005, 0, 0, 0, 0, 0, 0, 0, 0.118178467, 0.232723291, -0.183332886, -0.502636871, 0.773276299, -0.386280026, -0.707763672, -0.111572266, 0.697509766, 0.496361862, 0.624020349, 0.603625745, 0, -0, 0, 0, 0, 0, 0, 0.206321875, 0.285506055, -0.133200732, -0.196376788, 0.956101945, -0.216899096, -0.350219727, -0.274902344, -0.895263672, -0.915679873, -0.0998257388, 0.389004778, 0, 2, 5, 1, 
1169.21092, 63, 0.1, 0.1, 0.0247008426, 0.369045969, -0.0349678471, 0.92135847, 8.57579893e-006, -0.388713996, 0.388713996, -4.88177579e-006, 0.92135847, 6.0037704e-006, -1, -7.83139854e-006, 0.921358621, 6.93930797e-006, -0.388713637, 0.388713637, -1.13101706e-005, 0.921358621, 1.99717366e-006, -1, -1.31181268e-005, 0, 0, 0, 0, 0, 0, 0, 0.118178467, 0.232723291, -0.183332886, -0.502636871, 0.773276299, -0.386280026, -0.707763672, -0.111572266, 0.697509766, 0.496361862, 0.624020349, 0.603625745, 0, -0, 0, 0, 0, 0, 0, 0.206321875, 0.285506055, -0.133200732, -0.196376788, 0.956101945, -0.216899096, -0.350219727, -0.274902344, -0.895263672, -0.915679873, -0.0998257388, 0.389004778, 0, 2, 5, 1, 
1169.21166, 63, 0.1, 0.1, 0.0247008421, 0.369045968, -0.0349630683, 0.921357669, 1.30846558e-005, -0.388715892, 0.388715892, 1.31895629e-006, 0.92135767, 1.25683473e-005, -1, -3.87098317e-006, 0.921357846, 1.46117094e-007, -0.388715473, 0.388715473, -2.22364619e-006, 0.921357846, -7.29739551e-007, -1, -2.10557184e-006, 0, 0, 0, 0, 0, 0, 0, 0.119838696, 0.230250537, -0.183730811, -0.500777063, 0.772864422, -0.38957466, -0.708374023, -0.107421875, 0.697509766, 0.497179625, 0.625321504, 0.601552134, 0, -0, 0, 0, 0, 0, 0, 0.206321875, 0.285506055, -0.133200732, -0.194345043, 0.955489107, -0.221269553, -0.349975586, -0.278198242, -0.89440918, -0.916325527, -0.0963306121, 0.388545425, 0, 2, 5, 1, 
1169.21235, 63, 0.1, 0.1, 0.0247008412, 0.369045967, -0.0349605168, 0.921356957, -1.79852235e-005, -0.388717582, 0.388717582, -1.44706249e-005, 0.921356957, -2.21957971e-005, -1, -6.34143836e-006, 0.921357099, -1.33766473e-005, -0.388717243, 0.388717243, -2.99573628e-006, 0.921357099, -1.34891633e-005, -1, 2.43959057e-006, 0, 0, 0, 0, 0, 0, 0, 0.119838696, 0.230250537, -0.183730811, -0.500777063, 0.772864422, -0.38957466, -0.708374023, -0.107421875, 0.697509766, 0.497179625, 0.625321504, 0.601552134, 0, -0, 0, 0, 0, 0, 0, 0.208228662, 0.28308335, -0.133722803, -0.194345043, 0.955489107, -0.221269553, -0.349975586, -0.278198242, -0.89440918, -0.916325527, -0.0963306121, 0.388545425, 0, 2, 5, 1, 
1169.21305, 63, 0.1, 0.1, 0.0247008399, 0.369045966, -0.0349607722, 0.921356305, 2.10516045e-005, -0.388719126, 0.388719126, 2.06817778e-005, 0.921356305, 2.74354312e-005, -1, 1.08721251e-005, 0.921356417, 9.42793745e-006, -0.388718861, 0.388718861, 1.86214201e-005, 0.921356417, 1.59249879e-005, -1, 1.34921478e-005, 0, 0, 0, 0, 0, 0, 0, 0.119838696, 0.230250537, -0.183730811, -0.500777063, 0.772864422, -0.38957466, -0.708374023, -0.107421875, 0.697509766, 0.497179625, 0.625321504, 0.601552134, 0, -0, 0, 0, 0, 0, 0, 0.208228662, 0.28308335, -0.133722803, -0.194345043, 0.955489107, -0.221269553, -0.349975586, -0.278198242, -0.89440918, -0.916325527, -0.0963306121, 0.388545425, 0, 2, 5, 1, 
