time, trialNum, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, manipForceTooHigh, cceExpType, mapping, trialSuccess, 
1163.61692, 62, 0.1, 0.1, 0.0218951207, 0.376033599, -0.0349721829, 0.912957755, 0.408054086, 4.41841542e-006, 0.408054086, -0.912957755, 4.47144546e-006, 5.85841822e-006, -2.27928835e-006, -1, 0.912957704, 0.4080542, -3.13780262e-006, 0.4080542, -0.912957704, 4.08479972e-006, -1.1978614e-006, -5.00964291e-006, -1, 0, 0, 0, 0, 0, 0, 0, 0.118186401, 0.202687427, -0.203468555, -0.417855918, 0.827206294, -0.37545481, -0.728759766, -0.0584716797, 0.682250977, 0.542381599, 0.558749979, 0.62749473, 0, -0, 0, 0, 0, 0, 0, 0.206360596, 0.246194971, -0.15564751, -0.176409323, 0.949987058, -0.257080092, -0.367675781, -0.305908203, -0.878051758, -0.912967494, -0.0603315732, 0.403438477, 0, 2, 5, 1, 
1163.65529, 62, 0.1, 0.1, 0.021894638, 0.376033236, -0.0349726216, 0.912963856, 0.408040436, 1.47356747e-005, 0.408040437, -0.912963856, -2.16851405e-005, 4.60472421e-006, 2.58105006e-005, -1, 0.912963869, 0.408040408, 2.15143839e-006, 0.408040408, -0.912963868, -1.0847073e-005, -2.46185859e-006, 1.07808595e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.141832349, 0.171527393, -0.207194458, -0.420134691, 0.805339764, -0.418104599, -0.756347656, -0.0561523438, 0.651733398, 0.501462815, 0.590021483, 0.632890282, 0, -0, 0, 0, 0, 0, 0, 0.227018652, 0.218199756, -0.156930713, -0.182922733, 0.936970834, -0.297397485, -0.320556641, -0.342773438, -0.88293457, -0.929240405, -0.066118371, 0.363114592, 0, 2, 5, 1, 
1163.65598, 62, 0.1, 0.1, 0.0218946377, 0.376033221, -0.0349794014, 0.912963832, 0.40804049, -1.42435556e-006, 0.40804049, -0.912963832, -2.79290711e-005, -1.2696577e-005, 2.49170371e-005, -1, 0.91296383, 0.408040494, 6.65657414e-006, 0.408040494, -0.91296383, -3.43536993e-005, -7.94048899e-006, 3.40798367e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.141832349, 0.171527393, -0.207194458, -0.420134691, 0.805339764, -0.418104599, -0.756347656, -0.0561523438, 0.651733398, 0.501462815, 0.590021483, 0.632890282, 0, -0, 0, 0, 0, 0, 0, 0.227018652, 0.218199756, -0.156930713, -0.182922733, 0.936970834, -0.297397485, -0.320556641, -0.342773438, -0.88293457, -0.929240405, -0.066118371, 0.363114592, 0, 2, 5, 1, 
1163.65668, 62, 0.1, 0.1, 0.0218946302, 0.376033221, -0.0349829671, 0.912963923, 0.408040287, -3.43421868e-006, 0.408040287, -0.912963922, 2.79320852e-005, 8.26209833e-006, -2.69022857e-005, -1, 0.912963896, 0.408040348, -6.80768433e-006, 0.408040348, -0.912963895, 2.15906809e-005, 2.59469893e-006, -2.2489322e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.141832349, 0.171527393, -0.207194458, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.227018652, 0.218199756, -0.156930713, -0.182922733, 0.936970834, -0.297397485, -0.320556641, -0.342773438, -0.88293457, -0.929240405, -0.066118371, 0.363114592, 0, 2, 5, 1, 
1163.65738, 62, 0.1, 0.1, 0.0218946248, 0.376033223, -0.0349822356, 0.912964047, 0.40804001, -1.4301675e-006, 0.40804001, -0.912964047, -5.17916405e-006, -3.41899766e-006, 4.14482501e-006, -1, 0.912964027, 0.408040053, -3.66020395e-006, 0.408040053, -0.912964027, 7.3053312e-006, -3.60766806e-007, -8.16301441e-006, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.229260352, 0.215471045, -0.156746436, -0.182258489, 0.936242424, -0.30002421, -0.316040039, -0.344726563, -0.883789062, -0.930888988, -0.06619493, 0.358910745, 0, 2, 5, 1, 
1163.65808, 62, 0.1, 0.1, 0.0218946216, 0.376033215, -0.0349779349, 0.912964112, 0.408039864, -1.16222033e-008, 0.408039864, -0.912964112, -7.78328478e-006, -3.18650112e-006, 7.10111735e-006, -1, 0.912964098, 0.408039896, 2.71577295e-006, 0.408039896, -0.912964097, -1.4669695e-005, -3.50641761e-006, 1.45010485e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.229260352, 0.215471045, -0.156746436, -0.182258489, 0.936242424, -0.30002421, -0.316040039, -0.344726563, -0.883789062, -0.930888988, -0.06619493, 0.358910745, 0, 2, 5, 1, 
1163.65877, 62, 0.1, 0.1, 0.021894616, 0.376033214, -0.0349715674, 0.912964171, 0.408039732, 2.2249639e-006, 0.408039732, -0.912964171, 1.80247269e-006, 2.7667928e-006, -7.37719308e-007, -1, 0.912964163, 0.408039749, -6.10727292e-006, 0.408039749, -0.912964163, 7.32371381e-006, -2.58735496e-006, -9.17829836e-006, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.229260352, 0.215471045, -0.156746436, -0.182258489, 0.936242424, -0.30002421, -0.316040039, -0.344726563, -0.883789062, -0.930888988, -0.06619493, 0.358910745, 0, 2, 5, 1, 
1163.65946, 62, 0.1, 0.1, 0.0218946138, 0.376033207, -0.0349651814, 0.912964247, 0.408039561, 4.5361015e-006, 0.408039561, -0.912964247, -2.04581993e-006, 3.30652303e-006, 3.71866932e-006, -1, 0.912964236, 0.408039587, 9.46907357e-006, 0.408039587, -0.912964235, -1.25114776e-005, 3.53974737e-006, 1.52862884e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.229260352, 0.215471045, -0.156746436, -0.182258489, 0.936242424, -0.30002421, -0.316040039, -0.344726563, -0.883789062, -0.930888988, -0.06619493, 0.358910745, 0, 2, 5, 1, 
1163.66018, 62, 0.1, 0.1, 0.0218946056, 0.37603321, -0.0349601072, 0.912964312, 0.408039416, -9.11072096e-006, 0.408039416, -0.912964312, 8.47624672e-006, -4.85912033e-006, -1.1456044e-005, -1, 0.912964295, 0.408039453, -7.42221506e-006, 0.408039453, -0.912964295, 2.2581685e-005, 2.43800105e-006, -2.36448287e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.231239014, 0.212947021, -0.156547266, -0.182214013, 0.935469172, -0.302395373, -0.311401367, -0.346557617, -0.884643555, -0.932479969, -0.0670126583, 0.354611016, 0, 2, 5, 1, 
1163.66087, 62, 0.1, 0.1, 0.0218946025, 0.376033202, -0.0349584009, 0.912964337, 0.40803936, -2.77873948e-006, 0.40803936, -0.912964337, -6.16199966e-006, -5.05122845e-006, 4.49185085e-006, -1, 0.912964329, 0.408039378, 2.02940822e-006, 0.408039378, -0.912964329, -1.73800292e-005, -5.23895898e-006, 1.66954251e-005, -1, 0, 0, 0, 0, 0, 0, 0, 0.144106519, 0.168563354, -0.207147607, -0.419102003, 0.804020635, -0.421626142, -0.759277344, -0.0557861328, 0.64831543, 0.497838679, 0.591837107, 0.634065999, 0, -0, 0, 0, 0, 0, 0, 0.231239014, 0.212947021, -0.156547266, -0.182214013, 0.935469172, -0.302395373, -0.311401367, -0.346557617, -0.884643555, -0.932479969, -0.0670126583, 0.354611016, 0, 2, 5, 1, 
