time, trialNum, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, manipForceTooHigh, cceExpType, mapping, trialSuccess, 
502.275409, 31, 0.1, 0.1, 0.0418341327, 0.372445028, -0.0349653435, 0.0226258428, 1.05793364e-005, -0.999744003, -0.999744003, -4.85154907e-007, -0.0226258428, -7.24397112e-007, 1, 1.05656511e-005, 0.0226260077, 1.94111693e-005, -0.999743999, -0.999743999, 1.69704741e-006, -0.0226260076, 1.2574157e-006, 1, 1.94445974e-005, 0, 0, 0, 0, 0, 0, 0, 0.357425513, -0.160580151, -0.238444531, 0.232660839, 0.453207521, -0.860471222, -0.923950195, 0.37890625, -0.0502929687, 0.303151554, 0.806834041, 0.507061056, 0, 0, -0, 0, 0, 0, 0, 0.413630176, -0.144669922, -0.20550249, 0.231535325, -0.267916275, -0.935211656, 0.0599365234, -0.955444336, 0.288574219, -0.970862549, -0.122916507, -0.205203606, 0, 2, 5, 1, 
502.312315, 31, 0.1, 0.1, 0.0418341374, 0.372445001, -0.0349722751, 0.0226030558, -3.00189087e-006, -0.999744518, -0.999744518, -2.84085392e-005, -0.0226030557, -2.83334294e-005, 1, -3.64324374e-006, 0.022603129, -3.65793454e-006, -0.999744517, -0.999744516, -2.37258334e-005, -0.0226031289, -2.3637091e-005, 1, -4.19327807e-006, 0, 0, 0, 0, 0, 0, 0, 0.352916309, -0.157467285, -0.241231323, 0.221560758, 0.462485604, -0.858526795, -0.91809082, 0.395263672, -0.0239257812, 0.32826851, 0.793623304, 0.512314726, 0, 0, -0, 0, 0, 0, 0, 0.410178564, -0.143184375, -0.208197656, 0.220800578, -0.25641957, -0.940941951, 0.0523681641, -0.960205078, 0.274047852, -0.973831957, -0.109679369, -0.198564065, 0, 2, 5, 1, 
502.31301, 31, 0.1, 0.1, 0.0418341366, 0.372445004, -0.0349705939, 0.0226027355, 2.80315271e-006, -0.999744526, -0.999744525, 1.72484813e-005, -0.0226027355, 1.71807159e-005, 1, 3.19229944e-006, 0.0226028136, -2.52526642e-006, -0.999744524, -0.999744524, 6.87877219e-006, -0.0226028136, 6.93409295e-006, 1, -2.36914167e-006, 0, 0, 0, 0, 0, 0, 0, 0.352916309, -0.157467285, -0.241231323, 0.221560758, 0.462485604, -0.858526795, -0.91809082, 0.395263672, -0.0239257812, 0.32826851, 0.793623304, 0.512314726, 0, 0, -0, 0, 0, 0, 0, 0.410178564, -0.143184375, -0.208197656, 0.220800578, -0.25641957, -0.940941951, 0.0523681641, -0.960205078, 0.274047852, -0.973831957, -0.109679369, -0.198564065, 0, 2, 5, 1, 
502.313706, 31, 0.1, 0.1, 0.0418341352, 0.372445001, -0.034968783, 0.0226024172, 5.39067505e-006, -0.999744533, -0.999744533, -1.70392951e-005, -0.0226024173, -1.71567844e-005, 1, 5.00416865e-006, 0.0226024851, 4.96473653e-006, -0.999744531, -0.999744531, 5.79836121e-007, -0.0226024851, 4.67472607e-007, 1, 4.97657393e-006, 0, 0, 0, 0, 0, 0, 0, 0.352916309, -0.157467285, -0.241231323, 0.221560758, 0.462485604, -0.858526795, -0.91809082, 0.395263672, -0.0239257812, 0.32826851, 0.793623304, 0.512314726, 0, 0, -0, 0, 0, 0, 0, 0.410178564, -0.143184375, -0.208197656, 0.220800578, -0.25641957, -0.940941951, 0.0523681641, -0.960205078, 0.274047852, -0.973831957, -0.109679369, -0.198564065, 0, 2, 5, 1, 
502.3144, 31, 0.1, 0.1, 0.0418341337, 0.37244501, -0.0349673854, 0.0226020792, -3.07780837e-007, -0.99974454, -0.99974454, -7.9925765e-006, -0.0226020792, -7.98357823e-006, 1, -4.88351058e-007, 0.0226021294, 5.81138141e-006, -0.999744539, -0.999744539, -2.19917295e-005, -0.0226021295, -2.21174611e-005, 1, 5.31283691e-006, 0, 0, 0, 0, 0, 0, 0, 0.352916309, -0.157467285, -0.241231323, 0.221560758, 0.462485604, -0.858526795, -0.91809082, 0.395263672, -0.0239257812, 0.32826851, 0.793623304, 0.512314726, 0, 0, -0, 0, 0, 0, 0, 0.410178564, -0.143184375, -0.208197656, 0.220800578, -0.25641957, -0.940941951, 0.0523681641, -0.960205078, 0.274047852, -0.973831957, -0.109679369, -0.198564065, 0, 2, 5, 1, 
502.315092, 31, 0.1, 0.1, 0.0418341325, 0.372445001, -0.0349668208, 0.0226017199, -2.7882588e-007, -0.999744549, -0.999744548, 2.20205131e-005, -0.0226017199, 2.20211899e-005, 1, 2.18946816e-007, 0.0226017804, -6.72818379e-007, -0.999744547, -0.999744547, 2.9061898e-005, -0.0226017804, 2.90696809e-005, 1, -1.57958679e-008, 0, 0, 0, 0, 0, 0, 0, 0.352916309, -0.157467285, -0.241231323, 0.221560758, 0.462485604, -0.858526795, -0.91809082, 0.395263672, -0.0239257812, 0.32826851, 0.793623304, 0.512314726, 0, 0, -0, 0, 0, 0, 0, 0.410178564, -0.143184375, -0.208197656, 0.220800578, -0.25641957, -0.940941951, 0.0523681641, -0.960205078, 0.274047852, -0.973831957, -0.109679369, -0.198564065, 0, 2, 5, 1, 
502.315812, 31, 0.1, 0.1, 0.0418341324, 0.372445007, -0.0349669627, 0.02260151, -2.05643873e-006, -0.999744553, -0.999744553, -2.73403328e-005, -0.02260151, -2.72868702e-005, 1, -2.67384622e-006, 0.0226015418, 3.14878346e-006, -0.999744553, -0.999744552, -2.8886296e-005, -0.0226015419, -2.89500845e-005, 1, 2.49510428e-006, 0, 0, 0, 0, 0, 0, 0, 0.352675977, -0.157974805, -0.241045923, 0.221148881, 0.46127993, -0.859200025, -0.917724609, 0.396240234, -0.0234375, 0.329569664, 0.793814264, 0.511185436, 0, 0, -0, 0, 0, 0, 0, 0.410185156, -0.144152783, -0.207736523, 0.22093474, -0.258240227, -0.940501187, 0.0498046875, -0.959960937, 0.275268555, -0.973940598, -0.107538617, -0.199254195, 0, 2, 5, 1, 
502.316508, 31, 0.1, 0.1, 0.0418341315, 0.372445004, -0.0349678157, 0.0226013772, -1.08879147e-006, -0.999744556, -0.999744556, 3.08177776e-005, -0.0226013773, 3.08345136e-005, 1, -3.91989129e-007, 0.0226013906, -1.29251413e-006, -0.999744556, -0.999744556, 2.53316439e-005, -0.0226013906, 2.53543857e-005, 1, -7.19653584e-007, 0, 0, 0, 0, 0, 0, 0, 0.352675977, -0.157974805, -0.241045923, 0.221148881, 0.46127993, -0.859200025, -0.917724609, 0.396240234, -0.0234375, 0.329569664, 0.793814264, 0.511185436, 0, 0, -0, 0, 0, 0, 0, 0.410185156, -0.144152783, -0.207736523, 0.22093474, -0.258240227, -0.940501187, 0.0498046875, -0.959960937, 0.275268555, -0.973940598, -0.107538617, -0.199254195, 0, 2, 5, 1, 
502.317204, 31, 0.1, 0.1, 0.0418341319, 0.372445002, -0.0349692012, 0.0226012382, -1.47231801e-005, -0.999744559, -0.999744559, -1.92013703e-005, -0.0226012379, -1.88637034e-005, 1, -1.51533939e-005, 0.0226012671, -1.0333114e-005, -0.999744559, -0.999744559, -7.47596903e-006, -0.0226012671, -7.24051789e-006, 1, -1.04994408e-005, 0, 0, 0, 0, 0, 0, 0, 0.352675977, -0.157974805, -0.241045923, 0.221148881, 0.46127993, -0.859200025, -0.917724609, 0.396240234, -0.0234375, 0.329569664, 0.793814264, 0.511185436, 0, 0, -0, 0, 0, 0, 0, 0.410185156, -0.144152783, -0.207736523, 0.22093474, -0.258240227, -0.940501187, 0.0498046875, -0.959960937, 0.275268555, -0.973940598, -0.107538617, -0.199254195, 0, 2, 5, 1, 
502.317903, 31, 0.1, 0.1, 0.0418341316, 0.372445006, -0.0349706252, 0.0226012135, 7.17248806e-006, -0.99974456, -0.99974456, 1.06506356e-005, -0.0226012134, 1.0485808e-005, 1, 7.41137321e-006, 0.0226011929, 7.92124614e-006, -0.99974456, -0.99974456, -5.3000476e-006, -0.0226011929, -5.47772337e-006, 1, 7.79943534e-006, 0, 0, 0, 0, 0, 0, 0, 0.352675977, -0.157974805, -0.241045923, 0.221148881, 0.46127993, -0.859200025, -0.917724609, 0.396240234, -0.0234375, 0.329569664, 0.793814264, 0.511185436, 0, 0, -0, 0, 0, 0, 0, 0.410185156, -0.144152783, -0.207736523, 0.22093474, -0.258240227, -0.940501187, 0.0498046875, -0.959960937, 0.275268555, -0.973940598, -0.107538617, -0.199254195, 0, 2, 5, 1, 
