Timestamp,Subject #,Protocol #,Difficulty of Completing Tasks 5-14:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks  16-25: ,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 27-36:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 38-47:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 49-58:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 60-69:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 71-80:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 82-91:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 91-102:,Any comments or suggestions regarding the task?,Any comments or suggestions regarding the overall experiment?
9/8/2023 12:43,1,1,1,"Feedback palpable, tad strong",1,Liked feedback tad more,2,It was harder to grab the cube egg. I had to pay attention more and be mindful of holding that distance between my fingers while moving cube egg,1,,1,Easy breezy,1,"Now that I’ve done the task a lot, it’s easier than before. I still have to be cognizant of the space between my fingers and to hold that position",2,"I didn’t quite remember what pressure feedback corresponded to breaking the cube egg so I went off pain / tolerance. As long as I felt some feedback that wasn’t too light (so the egg would slip) but wasn’t too strong to the point of pain, I assumed cube egg was held ok.",1,I’m getting hungry so wasn’t paying attention as well,2,Probably hungrier,Cool environment and task!
9/8/2023 14:53,2,2,2,No,2,,4,,2,,2,,4,,3,,4,,3,,
9/8/2023 16:03,3,3,2,,3,,5,,2,,3,,4,,5,,3,,3,,Why don’t you add an experiment for gradation color change
9/9/2023 13:27,4,1,4,,3,"I feel that you should let us rank the difficulty of these tasks since I may have forgotten my selection / rating for the previous tasks
",3,I felt that grasping the cube was slightly more difficult than previous tasks,4,My wrist feels very tight during these tasks,3,,2,This is probably easiest thus far,3,,3,,1,,
9/14/2023 14:53,16 (5),2,3,,3,I noticed that the pressure from the machine made me squeeze the cube harder ,1,,2,"While carrying the cube was slightly harder, I felt as though I completed the task much quicker ",2,,1,,1,,2,I found it to be harder to gauge how hard to hold the cube without it turning red this round ,2,,
9/11/2023 12:02,6,3,1,,1,,2,,1,,2,,1,,2,,1,,1,,"Because the tasks remained the same throughout the experiment, the instance with haptic feedback ended up helping me know which exact finger pose I need in order to complete the trials without haptics. If the tasks varied in some way, I would’ve felt much more difficulty without haptics feedback."
9/11/2023 17:07,7,1,2,,3,,3,,3,Less forceful feedback. It hurt a little despite me loosening the strap,2,,2,,3,,2,,2,,Fun! I liked the light feedback more. The strong feedback was uncomfortable/painful despite me loosening the strap
9/11/2023 18:49,8,2,3,,2,,3,,2,,2,,3,,4,Taking into account that the visual indicator of color change due to exceeding force limit is no longer there,4,,3,,It was really nice and as a first time user felt like I was getting better doing more tasks
9/11/2023 20:06,9,3,2,,2,,2,probably would not have been as easy if I hadn’t gone through the previous trials,1,,1,,2,,1,,2,,1,,
9/12/2023 11:42,10,1,3,,2,,1,It seemed less distracting and faster/easier not having ha-tic feedback and only using memory and visual cues,2,"Never mind, haptic feedback is useful, but maybe just overturned so it seems like I have less room to squeeze than I really to because the feedback is so strong",2,Hand starting position seems somewhat impactful but not standardized ,4,,3,,2,,4,,"The pneumatic tubing was a bit cumbersome, and the haptic feedback was a bit strong, bordering on painful when squeezing too hard"
9/12/2023 16:50,11,2,3,The pressure feels high even when it’s not breaking,2,"I felt more cautious and therefore slower but I think it helped me grasp more gently once I got the hang of it. In the beginning it just felt like the cube had become super delicate and I kept breaking it, but by the middle I felt a lot more comfortable compared to the previous mode",1,"Broke it in the beginning, later learned how not to, and was able to do it faster",2,Slightly painful but this time I knew I could go faster so I tried to,1,"Loved it, I felt in control ",1,"This one makes me feel rash, like I can touch the hoops however I want and don’t need to pass through them carefully",1,Ahhh I really enjoyed this,2,"Hard to tell if I did better or worse, since breaking the cube wouldn’t have made me visibly fail…I did feel less secure each time I grasped it, worried if I was about to drop it ",3,The high pressure made me want to go fast ,"It was so much fun! 
Took me a while to realize I just had to touch the hoops, I’m not sure if hitting them was causing the cube to break.
I felt very strongly in favor of the gentle pressure mode and strongly uncomfortable in the high pressure mode. The mode with no pressure made me feel lost."
9/13/2023 9:37,12,3,2,"A little bit uncomfortable, esp on the inside of the wrist. Just a little too strong maybe. ",1,,3,,2,,1,,2,,1,Easy but a lot less confident on performance without the color feedback :),2,,2,,
9/13/2023 13:58,13,1,2,,2,It felt more like it was squeezing my wrist ,3,The lack of haptic feedback made it more difficult to tell whether or not I was using enough force to pick up the object,2,,2,Difficult to tell the difference in haptic response (if there is one?) between these tasks and the previous 10 tasks,3,"Same as previous tests with no haptic feedback, but the visual cues (block turning red) do provide a lot of feedback that helps with being more consistent between runs",3,I noticed that I dropped the cube more since I was trying to stay on the lighter side ,3,,4,This was the most difficult task because there was no form of feedback ,My hand was starting to get tired from opening my fingers so wide 
