time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
63.2031972, 0.1, 0.1, 0.101425347, 0.195501267, -0.0199493343, 0.173084302, -0.0568044189, -0.210069775, 0, 0, 0, 0, 0, 0, 0, 0.26259375, -0.0335293945, -0.169616357, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2350508, 0.1, 0.1, 0.101425564, 0.195501444, -0.0199563309, 0.172250732, -0.0615199219, -0.20447771, 0, 0, 0, 0, 0, 0, 0, 0.261656738, -0.0345181641, -0.165502002, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2359592, 0.1, 0.1, 0.101425576, 0.195501444, -0.0199505387, 0.172836938, -0.0621812256, -0.204140698, 0, 0, 0, 0, 0, 0, 0, 0.261656738, -0.0345181641, -0.165502002, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2366545, 0.1, 0.1, 0.101425578, 0.195501454, -0.0199514882, 0.172836938, -0.0621812256, -0.204140698, 0, 0, 0, 0, 0, 0, 0, 0.261734473, -0.0348413574, -0.165002539, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2373542, 0.1, 0.1, 0.101425586, 0.19550146, -0.019957677, 0.172836938, -0.0621812256, -0.204140698, 0, 0, 0, 0, 0, 0, 0, 0.261734473, -0.0348413574, -0.165002539, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2380489, 0.1, 0.1, 0.101425592, 0.195501465, -0.0199667318, 0.172836938, -0.0621812256, -0.204140698, 0, 0, 0, 0, 0, 0, 0, 0.261734473, -0.0348413574, -0.165002539, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2387897, 0.1, 0.1, 0.101425597, 0.195501461, -0.0199758769, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2395128, 0.1, 0.1, 0.101425604, 0.195501478, -0.0199818255, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2402348, 0.1, 0.1, 0.10142561, 0.195501489, -0.0199833017, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2410058, 0.1, 0.1, 0.101425614, 0.195501482, -0.0199797553, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2416933, 0.1, 0.1, 0.101425619, 0.195501488, -0.0199735177, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2423773, 0.1, 0.1, 0.101425623, 0.195501495, -0.0199667907, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2430761, 0.1, 0.1, 0.101425628, 0.195501498, -0.0199613922, 0.172548975, -0.0628587646, -0.203621582, 0, 0, 0, 0, 0, 0, 0, 0.261419922, -0.0361395508, -0.164307666, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2437743, 0.1, 0.1, 0.101425632, 0.195501502, -0.0199586161, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2444575, 0.1, 0.1, 0.101425636, 0.195501502, -0.0199594318, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2451458, 0.1, 0.1, 0.101425641, 0.195501507, -0.0199632888, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2458359, 0.1, 0.1, 0.101425646, 0.195501509, -0.0199688798, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2465172, 0.1, 0.1, 0.101425651, 0.195501515, -0.0199744024, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2472025, 0.1, 0.1, 0.101425656, 0.195501519, -0.0199783884, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2478985, 0.1, 0.1, 0.101425661, 0.195501525, -0.0199797198, 0.172381348, -0.0633491943, -0.202680396, 0, 0, 0, 0, 0, 0, 0, 0.261333984, -0.0375415039, -0.163217822, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2485947, 0.1, 0.1, 0.101425666, 0.195501529, -0.019977959, 0.17225022, -0.0642914795, -0.201986743, 0, 0, 0, 0, 0, 0, 0, 0.261506201, -0.038755127, -0.161916455, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2492849, 0.1, 0.1, 0.10142567, 0.195501533, -0.019973978, 0.17225022, -0.0642914795, -0.201986743, 0, 0, 0, 0, 0, 0, 0, 0.261506201, -0.038755127, -0.161916455, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
63.2499706, 0.1, 0.1, 0.101425674, 0.195501536, -0.019969176, 0.17225022, -0.0642914795, -0.201986743, 0, 0, 0, 0, 0, 0, 0, 0.261506201, -0.038755127, -0.161916455, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
