time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
90.0922145, 0.1, 0.1, 0.150001621, -0.199998854, -0.019959823, 0.705427463, -0.70878212, 1.62780757e-005, 0.70878212, 0.705427463, -3.06548103e-005, 1.02445798e-005, 3.3162354e-005, 0.999999999, 0.705427549, -0.708782035, 1.61854554e-005, 0.708782035, 0.705427549, -2.25842937e-005, 4.58967551e-006, 2.7403543e-005, 1, 0.188114844, -0.246822583, 0.186921948, 0, 0, 0, 0, 0, 0, 0, 0.213961572, -0.230509521, 0.247071191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1002946, 0.1, 0.1, 0.150001612, -0.199998864, -0.0199594327, 0.705427616, -0.708781968, 7.79712207e-007, 0.708781968, 0.705427616, -5.38361739e-006, 3.26578041e-006, 4.35039833e-006, 1, 0.705427809, -0.708781776, 4.9808694e-006, 0.708781776, 0.705427809, 1.21172355e-005, -1.21021195e-005, -5.01748547e-006, 1, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1010213, 0.1, 0.1, 0.150001614, -0.199998865, -0.0199573828, 0.705426693, -0.708782887, 2.91553709e-006, 0.708782887, 0.705426693, -2.04266628e-005, 1.24213714e-005, 1.6475996e-005, 1, 0.705426884, -0.708782697, -1.37890477e-005, 0.708782697, 0.705426884, -2.46281619e-006, 1.14727664e-005, -8.03610164e-006, 1, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1017444, 0.1, 0.1, 0.150001614, -0.199998866, -0.019958827, 0.705425672, -0.708783903, -3.55264703e-005, 0.708783903, 0.705425671, 2.66629822e-005, 6.16299155e-006, -4.39893425e-005, 0.999999999, 0.705425895, -0.708783681, -1.3684248e-005, 0.708783681, 0.705425895, 2.59688616e-005, -8.75308241e-006, -2.80182791e-005, 1, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1024682, 0.1, 0.1, 0.150001615, -0.199998865, -0.0199630922, 0.705424699, -0.708784871, 2.38637999e-005, 0.708784871, 0.705424698, -4.45287011e-005, 1.47271558e-005, 4.83259459e-005, 0.999999999, 0.705424877, -0.708784694, 9.79704928e-006, 0.708784694, 0.705424877, -2.77879183e-005, 1.27845689e-005, 2.65462874e-005, 1, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1031998, 0.1, 0.1, 0.15000161, -0.199998863, -0.0199687115, 0.705423651, -0.708785914, -1.13905511e-005, 0.708785914, 0.705423651, 2.15859154e-005, -7.26462861e-006, -2.33006775e-005, 1, 0.705423879, -0.708785687, 2.23138844e-005, 0.708785688, 0.705423879, 6.41478311e-006, -2.02874533e-005, 1.12906207e-005, 1, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1039251, 0.1, 0.1, 0.15000162, -0.199998868, -0.0199737934, 0.705422421, -0.708787138, -3.05940664e-005, 0.708787138, 0.705422421, 1.64636274e-005, 9.91253311e-006, -3.32984927e-005, 0.999999999, 0.705422657, -0.708786901, -5.30245437e-005, 0.708786903, 0.705422657, 1.92811043e-005, 2.37385204e-005, -5.11844299e-005, 0.999999998, 0.192575049, -0.247981787, 0.186479761, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1046637, 0.1, 0.1, 0.150001611, -0.199998865, -0.0199768527, 0.705421492, -0.708788061, 5.73908156e-005, 0.708788063, 0.705421491, -3.71921147e-005, -1.41233879e-005, 6.6914042e-005, 0.999999998, 0.705421637, -0.708787916, 6.18202474e-005, 0.708787918, 0.705421637, -2.71324648e-005, -2.43781769e-005, 6.29572722e-005, 0.999999998, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.216537842, -0.231298389, 0.246346045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1054152, 0.1, 0.1, 0.150001609, -0.199998861, -0.0199767557, 0.705421013, -0.70878854, -1.18888415e-005, 0.70878854, 0.705421013, 1.77454748e-005, -4.19115053e-006, -2.09447054e-005, 1, 0.705421061, -0.708788492, -7.66721813e-006, 0.708788492, 0.705421061, -5.21159941e-006, 9.10253883e-006, -1.75806399e-006, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.217167529, -0.231485254, 0.246580762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1061406, 0.1, 0.1, 0.150001611, -0.199998864, -0.0199740619, 0.705420721, -0.70878883, 1.03812969e-005, 0.70878883, 0.705420721, -6.86680153e-006, -2.45606975e-006, 1.22021314e-005, 1, 0.705420794, -0.708788757, -1.08071484e-005, 0.708788757, 0.705420794, 4.55882265e-006, 4.39234494e-006, -1.08758736e-005, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.217167529, -0.231485254, 0.246580762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1068681, 0.1, 0.1, 0.15000161, -0.199998862, -0.0199698036, 0.705420502, -0.708789048, -1.7116899e-006, 0.708789048, 0.705420502, 2.43736508e-005, -1.60683156e-005, -1.84069e-005, 1, 0.705420532, -0.708789019, 3.53638823e-006, 0.708789019, 0.705420532, -6.35294919e-006, 2.00825976e-006, 6.98805394e-006, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.217167529, -0.231485254, 0.246580762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1076023, 0.1, 0.1, 0.150001612, -0.199998864, -0.0199653371, 0.705420278, -0.708789272, -3.16342052e-007, 0.708789271, 0.705420277, -3.94533877e-005, 2.8187292e-005, 2.76069998e-005, 0.999999999, 0.705420355, -0.708789195, -1.51802507e-005, 0.708789195, 0.705420355, -7.90251734e-006, 1.63096767e-005, -5.18500108e-006, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.217167529, -0.231485254, 0.246580762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1083282, 0.1, 0.1, 0.150001607, -0.19999886, -0.0199620283, 0.705419736, -0.708789811, 3.63585314e-006, 0.708789811, 0.705419735, 2.14663752e-005, -1.77799506e-005, -1.25657491e-005, 1, 0.705419877, -0.70878967, 2.84545957e-005, 0.70878967, 0.705419877, 2.47971377e-007, -2.02481969e-005, 1.99933996e-005, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1090554, 0.1, 0.1, 0.150001613, -0.199998859, -0.0199608735, 0.70541879, -0.708790752, 3.13615886e-006, 0.708790752, 0.70541879, -3.22220926e-005, 2.06264159e-005, 2.495295e-005, 0.999999999, 0.705418997, -0.708790546, -2.97613924e-005, 0.708790545, 0.705418998, -1.99438438e-005, 3.51302595e-005, -7.02582724e-006, 0.999999999, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1097929, 0.1, 0.1, 0.150001609, -0.199998857, -0.0199621059, 0.705417584, -0.708791952, -3.03238778e-005, 0.708791952, 0.705417584, 2.89751419e-006, 1.93372619e-005, -2.3537278e-005, 1, 0.705417848, -0.70879169, 1.44953847e-005, 0.70879169, 0.705417848, -4.96146046e-006, -6.70866116e-006, 1.3774111e-005, 1, 0.193917188, -0.248621729, 0.186907324, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1105251, 0.1, 0.1, 0.150001616, -0.199998861, -0.0199648883, 0.705416563, -0.708792969, 1.39719081e-005, 0.708792969, 0.705416563, 9.47792321e-006, -1.65739007e-005, 3.21730617e-006, 1, 0.705416724, -0.708792808, -1.46021102e-005, 0.708792808, 0.705416724, 2.24440801e-005, -5.60762978e-006, -2.61823002e-005, 1, 0.19278291, -0.248306348, 0.187557642, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1112456, 0.1, 0.1, 0.150001615, -0.199998858, -0.0199685321, 0.705416009, -0.70879352, -3.13524995e-005, 0.70879352, 0.705416009, -2.88865161e-006, 2.41640126e-005, -2.01847474e-005, 1, 0.705416081, -0.708793448, -1.44475451e-005, 0.708793448, 0.705416082, -2.1531321e-005, 2.545279e-005, 4.94821481e-006, 1, 0.19278291, -0.248306348, 0.187557642, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1120153, 0.1, 0.1, 0.150001617, -0.199998863, -0.0199718714, 0.705415903, -0.708793626, 1.6388598e-005, 0.708793626, 0.705415903, -2.38383238e-006, -9.87113247e-006, 1.32977271e-005, 1, 0.705415896, -0.708793633, 5.18598514e-006, 0.708793633, 0.705415895, 2.15673942e-005, -1.8945108e-005, -1.15381894e-005, 1, 0.19278291, -0.248306348, 0.187557642, 0, 0, 0, 0, 0, 0, 0, 0.21680625, -0.231352832, 0.247194238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1127745, 0.1, 0.1, 0.150001616, -0.199998859, -0.0199731959, 0.705416087, -0.708793443, 1.01430148e-006, 0.708793443, 0.705416086, 1.70143503e-005, -1.27751645e-005, -1.12832661e-005, 1, 0.705416045, -0.708793485, 4.63690883e-006, 0.708793485, 0.705416044, -1.27132671e-005, 5.74013101e-006, 1.22547534e-005, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1135284, 0.1, 0.1, 0.150001617, -0.199998862, -0.0199725227, 0.705416217, -0.708793313, 1.57624206e-006, 0.708793313, 0.705416217, -2.49815786e-005, 1.65948692e-005, 1.87396405e-005, 1, 0.705416214, -0.708793316, -9.50404543e-006, 0.708793316, 0.705416214, -3.33927899e-006, 9.07116637e-006, -4.38082234e-006, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1142639, 0.1, 0.1, 0.150001613, -0.199998861, -0.0199703083, 0.705416064, -0.708793465, 3.71999601e-006, 0.708793465, 0.705416064, 2.75443888e-005, -2.21474277e-005, -1.67935455e-005, 1, 0.705416123, -0.708793406, 2.32146616e-005, 0.708793406, 0.705416123, 1.06273278e-005, -2.39085765e-005, 8.95771072e-006, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1149895, 0.1, 0.1, 0.150001617, -0.199998863, -0.0199676569, 0.705415554, -0.708793973, 5.17987353e-006, 0.708793973, 0.705415554, -1.73202341e-005, 8.62251421e-006, 1.58894257e-005, 1, 0.705415675, -0.708793853, -2.19595519e-005, 0.708793853, 0.705415675, -6.40374548e-006, 2.00295476e-005, -1.1047493e-005, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1157108, 0.1, 0.1, 0.150001614, -0.199998862, -0.0199654504, 0.70541482, -0.708794703, -2.6408816e-005, 0.708794704, 0.70541482, 7.23735453e-006, 1.34993716e-005, -2.3823766e-005, 1, 0.705414968, -0.708794556, 1.07363053e-005, 0.708794556, 0.705414968, 2.45322804e-006, -9.31238512e-006, 5.87929095e-006, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1164359, 0.1, 0.1, 0.150001619, -0.199998865, -0.0199642839, 0.705414195, -0.708795326, 2.26194196e-005, 0.708795326, 0.705414195, 3.87214391e-006, -1.87006172e-005, 1.33010736e-005, 1, 0.705414287, -0.708795234, -6.37006978e-006, 0.708795234, 0.705414286, 1.8800906e-005, -8.83245435e-006, -1.77775028e-005, 1, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1171612, 0.1, 0.1, 0.150001618, -0.199998861, -0.0199644363, 0.705413993, -0.708795525, -3.49340268e-005, 0.708795526, 0.705413994, -9.98403181e-006, 3.17195884e-005, -1.77182061e-005, 0.999999999, 0.705413994, -0.708795525, -1.52388224e-005, 0.708795524, 0.705413994, -3.11586087e-005, 3.28347609e-005, 1.11785095e-005, 0.999999999, 0.19099563, -0.247435229, 0.187806152, 0, 0, 0, 0, 0, 0, 0, 0.215946729, -0.230732666, 0.247546143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1179142, 0.1, 0.1, 0.15000162, -0.199998865, -0.0199655118, 0.705414275, -0.708795246, 1.73832332e-005, 0.708795246, 0.705414275, -7.31199864e-006, -7.07967094e-006, 1.74791412e-005, 1, 0.705414194, -0.708795326, 4.73099095e-006, 0.708795326, 0.705414194, 2.18977973e-005, -1.88583646e-005, -1.20937128e-005, 1, 0.188979736, -0.246367969, 0.187817139, 0, 0, 0, 0, 0, 0, 0, 0.215107227, -0.230123975, 0.247666504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1186389, 0.1, 0.1, 0.150001619, -0.19999886, -0.0199673271, 0.705414829, -0.708794694, -4.09587499e-006, 0.708794694, 0.705414829, 1.45937349e-005, -7.45467094e-006, -1.31977715e-005, 1, 0.705414714, -0.708794809, 8.18107756e-007, 0.708794809, 0.705414714, -2.030901e-005, 1.38178156e-005, 1.4906145e-005, 1, 0.188979736, -0.246367969, 0.187817139, 0, 0, 0, 0, 0, 0, 0, 0.215107227, -0.230123975, 0.247666504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1193596, 0.1, 0.1, 0.150001621, -0.199998863, -0.0199693367, 0.705415286, -0.70879424, -4.92950428e-006, 0.70879424, 0.705415285, -2.39803864e-005, 2.04745074e-005, 1.34221269e-005, 1, 0.705415223, -0.708794303, -1.69018231e-005, 0.708794303, 0.705415223, 2.6502399e-007, 1.17349558e-005, -1.21668679e-005, 1, 0.188979736, -0.246367969, 0.187817139, 0, 0, 0, 0, 0, 0, 0, 0.215107227, -0.230123975, 0.247666504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90.1200999, 0.1, 0.1, 0.150001618, -0.199998862, -0.0199708972, 0.705415395, -0.708794131, 4.81313863e-006, 0.708794131, 0.705415395, 2.53038511e-005, -2.13304833e-005, -1.44382017e-005, 1, 0.705415406, -0.70879412, 2.24065115e-005, 0.70879412, 0.705415406, 8.96672254e-006, -2.21614586e-005, 9.55633936e-006, 1, 0.188541309, -0.245855811, 0.187794189, 0, 0, 0, 0, 0, 0, 0, 0.215107227, -0.230123975, 0.247666504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
