time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
79.2836612, 0.1, 0.1, 0.102556989, 0.189401934, -0.0199585549, 0.969899478, -4.76585322e-005, -0.243505646, 0.243505642, -6.51743017e-005, 0.969899478, -6.20942959e-005, -0.999999997, -5.16073998e-005, 0.969899534, -1.81149583e-005, -0.243505428, 0.243505428, -3.31048536e-005, 0.969899534, -2.56309011e-005, -0.999999999, -2.76972915e-005, 0.112282861, -0.0829346924, -0.204227295, 0, 0, 0, 0, 0, 0, 0, 0.20139375, -0.0240730957, -0.165278223, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2938269, 0.1, 0.1, 0.102556959, 0.189401906, -0.0199636595, 0.969907635, 8.41106902e-006, -0.243473161, 0.243473161, -3.94775967e-005, 0.969907634, -1.45377521e-006, -0.999999999, -4.0337492e-005, 0.969907477, -6.06483901e-006, -0.243473787, 0.243473787, -1.44546314e-005, 0.969907477, -9.40165656e-006, -1, -1.25430257e-005, 0.11235, -0.0827846924, -0.202729663, 0, 0, 0, 0, 0, 0, 0, 0.200953223, -0.023792627, -0.164565283, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2945457, 0.1, 0.1, 0.102556964, 0.1894019, -0.019969792, 0.969908302, -1.45432386e-005, -0.243470503, 0.243470503, -1.48804284e-006, 0.969908302, -1.44679024e-005, -1, 2.09758451e-006, 0.969908179, 1.39944017e-005, -0.243470991, 0.243470992, -2.46410632e-005, 0.969908179, 7.5739006e-006, -1, -2.73067996e-005, 0.11235, -0.0827846924, -0.202729663, 0, 0, 0, 0, 0, 0, 0, 0.200953223, -0.023792627, -0.164565283, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2952771, 0.1, 0.1, 0.10255696, 0.189401905, -0.0199750991, 0.969908906, 1.06940422e-005, -0.243468097, 0.243468097, 9.74229369e-006, 0.969908906, 1.27441845e-005, -1, 6.84547931e-006, 0.969908792, -1.39318793e-005, -0.243468549, 0.243468549, 2.08574136e-005, 0.969908792, -8.43452797e-006, -1, 2.36217633e-005, 0.11235, -0.0827846924, -0.202729663, 0, 0, 0, 0, 0, 0, 0, 0.200953223, -0.023792627, -0.164565283, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2960134, 0.1, 0.1, 0.102556966, 0.1894019, -0.0199779366, 0.96990952, 6.05023353e-006, -0.243465649, 0.243465649, -2.76938089e-005, 0.96990952, -8.74312038e-007, -1, -2.83335129e-005, 0.969909398, 2.4923273e-005, -0.243466135, 0.243466136, -3.30258276e-005, 0.969909398, 1.61326461e-005, -0.999999999, -3.81000336e-005, 0.11235, -0.0827846924, -0.202729663, 0, 0, 0, 0, 0, 0, 0, 0.200953223, -0.023792627, -0.164565283, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2967313, 0.1, 0.1, 0.102556966, 0.189401904, -0.0199776146, 0.969910144, 3.47727574e-006, -0.243463163, 0.243463162, 3.29696158e-005, 0.969910144, 1.1399532e-005, -0.999999999, 3.11309763e-005, 0.96991002, -1.49568229e-006, -0.24346366, 0.24346366, 3.30745803e-005, 0.969910019, 6.60178113e-006, -0.999999999, 3.24435111e-005, 0.112381128, -0.0827765137, -0.202735767, 0, 0, 0, 0, 0, 0, 0, 0.200949805, -0.0237474609, -0.164545264, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2974518, 0.1, 0.1, 0.102556968, 0.189401902, -0.0199745814, 0.969910716, 1.01846178e-005, -0.243460886, 0.243460886, -3.65638771e-005, 0.969910715, 9.7629602e-007, -0.999999999, -3.79432523e-005, 0.969910614, 1.09724716e-005, -0.243461293, 0.243461294, -3.12659139e-005, 0.969910613, 3.0302768e-006, -0.999999999, -3.29965138e-005, 0.112381128, -0.0827765137, -0.202735767, 0, 0, 0, 0, 0, 0, 0, 0.200949805, -0.0237474609, -0.164545264, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2981808, 0.1, 0.1, 0.102556969, 0.189401902, -0.019969863, 0.969911251, 1.62825039e-005, -0.243458752, 0.243458752, 2.06698742e-005, 0.969911251, 2.08248455e-005, -1, 1.60838254e-005, 0.969911144, 1.03363822e-005, -0.24345918, 0.24345918, 1.76804791e-005, 0.969911144, 1.43298472e-005, -1, 1.46320066e-005, 0.112381128, -0.0827765137, -0.202735767, 0, 0, 0, 0, 0, 0, 0, 0.200949805, -0.0237474609, -0.164545264, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2989035, 0.1, 0.1, 0.102556967, 0.189401901, -0.0199650518, 0.969911794, -3.35742603e-005, -0.243456589, 0.243456589, -6.67888712e-006, 0.969911795, -3.41900902e-005, -0.999999999, 1.69594351e-006, 0.969911684, -3.03182041e-005, -0.243457029, 0.243457028, -2.12742666e-005, 0.969911684, -3.45853501e-005, -0.999999999, -1.32529799e-005, 0.112381128, -0.0827765137, -0.202735767, 0, 0, 0, 0, 0, 0, 0, 0.200949805, -0.0237474609, -0.164545264, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
79.2996222, 0.1, 0.1, 0.102556968, 0.189401903, -0.0199616712, 0.969912321, -6.37990565e-006, -0.243454493, 0.243454493, 1.59913812e-005, 0.96991232, -2.29477549e-006, -1, 1.70634543e-005, 0.969912227, 7.47657526e-006, -0.243454867, 0.243454867, 1.73429481e-005, 0.969912227, 1.14738469e-005, -1, 1.50009288e-005, 0.112381128, -0.0827765137, -0.202735767, 0, 0, 0, 0, 0, 0, 0, 0.200949805, -0.0237474609, -0.164545264, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
